Host_IPAddress,Host_Name,Service_Name,Service_Index,Service_Descr,Service_Speed
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_1,1,FastEthernet0/1,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth1,1,FastEthernet0/1,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_1,1,FastEthernet0/1,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_10,10,FastEthernet0/10,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth10,10,FastEthernet0/10,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_10,10,FastEthernet0/10,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_11,11,FastEthernet0/11,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth11,11,FastEthernet0/11,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_11,11,FastEthernet0/11,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_12,12,FastEthernet0/12,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth12,12,FastEthernet0/12,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_12,12,FastEthernet0/12,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_13,13,FastEthernet0/13,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth13,13,FastEthernet0/13,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_13,13,FastEthernet0/13,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_14,14,FastEthernet0/14,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth14,14,FastEthernet0/14,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_14,14,FastEthernet0/14,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_15,15,FastEthernet0/15,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth15,15,FastEthernet0/15,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_15,15,FastEthernet0/15,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_16,16,FastEthernet0/16,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth16,16,FastEthernet0/16,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_16,16,FastEthernet0/16,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_17,17,FastEthernet0/17,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth17,17,FastEthernet0/17,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_17,17,FastEthernet0/17,10000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_18,18,FastEthernet0/18,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth18,18,FastEthernet0/18,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_ifoperstatus_18,18,FastEthernet0/18,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_if_19,19,FastEthernet0/19,100000000
192.168.2.203,Switch03.itgroundwork.com,SNMP_bandwidth19,19,FastEthernet0/19,100000000
